open_time,open,high,low,close,volume,return_rate,log_return,volatility_20,momentum_10,sma_20,ema_20,bb_upper,bb_lower,rsi_14,macd,macd_signal
2024-01-01 00:00:00,42283.58,42554.57,42261.02,42475.23,1271.68108,,,,,,42475.23,,,,0.0,0.0
2024-01-01 01:00:00,42475.23,42775.0,42431.65,42613.56,1196.37856,0.0032567216234025143,0.003251429991338777,,,,42488.404285714285,,,,11.034871794872743,2.2069743589745485
2024-01-01 02:00:00,42613.57,42638.41,42500.0,42581.1,685.2198,-0.0007617293650189483,-0.0007620196282424221,,,,42497.232448979594,,,,16.965271385786764,5.158633764336992
2024-01-01 03:00:00,42581.09,42586.64,42230.08,42330.49,794.80391,-0.0058854750112139476,-0.005902862675944491,,,,42481.35221574345,,,,1.4265785138704814,4.41222271424369
2024-01-01 04:00:00,42330.5,42399.99,42209.46,42399.99,715.4176,0.0016418425584017182,0.001640496208370165,,,,42473.6034332917,,,,-5.219708818985964,2.485836407597759
2024-01-01 05:00:00,42399.98,42406.0,42180.77,42234.01,736.53152,-0.00391462356476957,-0.003922305758748797,,,,42450.78501107344,,,,-23.60799993367982,-2.732930860657757
2024-01-01 06:00:00,42234.01,42424.82,42208.68,42396.69,601.3725,0.0038518719865814344,0.003844472522785788,,,,42445.63310525692,,,,-24.768421747947286,-7.140029038115664
2024-01-01 07:00:00,42396.69,42500.0,42396.68,42492.46,653.67718,0.0022589027586823462,0.0022563552734720417,,,,42450.092809518166,,,,-17.755550841771765,-9.263133398846884
2024-01-01 08:00:00,42492.46,42556.5,42452.58,42549.99,427.19365,0.0013538872543505942,0.0013529715753927145,,,,42459.60682765929,,,,-7.469506105117034,-8.904407940100914
2024-01-01 09:00:00,42550.0,42699.32,42537.18,42649.69,879.62491,0.002343126285106134,0.002340385445299736,,,,42477.70998692983,,,,8.627759783776128,-5.397974395325505
